First Name,Last Name,Jersey Number,Position,Team,Captain,Age
Cedric,Soares,17,defender,arsenal,FALSE,30
Bernd,Leno,1,KeEper,ARSENAL,FALSE,30
graNIt,Xhaka,34,midfielder,arsenal,FALSE,29
mohamed,elneny,25,midfielder,arsenal,FALSE,30
aaron,ramsdale,32,KeEper,arsenal,FALSE,24
hector,bellerin,2,defender,arsenal,FALSE,27
kieran,tierney,3,defender,arsenal,FALSE,25
ben,white,4,defender,arsenal,FALSE,24
bukayo,saka,7,MIDfielder,arsenal,FALSE,20
emile,smith rowe,10,midfielder,Arsenal,FALSE,21
martin,odegaard,8,midfielder,arsenal,FALSE,23
gabriel,martinelli,11,ATTacker,arsenal,FALSE,21
gabriel,jesus,9,attacker,arsenal,FALSE,25
olivier,giroud,9,ATTACKER,ACMilan,FALSE,35
simon,kjaer,24,defender,ACMilan,FALSE,33
ciprian,tatarusanu,1,KeEper,ACMilan,FALSE,36
tiemoue,bakayoko,41,midfielder,ACMilan,FALSE,27
alessandro,florenzi,25,defender,ACMilan,FALSE,31
lucas,digne,27,defender,astonvilla,FALSE,28
danny,ings,20,ATTacker,astonvilla,FALSE,29
tyrone,mings,5,defender,astonvilla,TRUE,29
john ,mcginn,7,midfielder,astonvilla,TRUE,27
